,Name,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
91,Doduo,84,Normal,Flying,310,35,85,45,35,35,75,1,False
92,Dodrio,85,Normal,Flying,460,60,110,70,60,60,100,1,False
93,Seel,86,Water,,325,65,45,55,45,70,45,1,False
94,Dewgong,87,Water,Ice,475,90,70,80,70,95,70,1,False
95,Grimer,88,Poison,,325,80,80,50,40,50,25,1,False
96,Muk,89,Poison,,500,105,105,75,65,100,50,1,False
97,Shellder,90,Water,,305,30,65,100,45,25,40,1,False
98,Cloyster,91,Water,Ice,525,50,95,180,85,45,70,1,False
99,Gastly,92,Ghost,Poison,310,30,35,30,100,35,80,1,False
100,Haunter,93,Ghost,Poison,405,45,50,45,115,55,95,1,False
101,Gengar,94,Ghost,Poison,500,60,65,60,130,75,110,1,False
102,GengarMega Gengar,94-mega,Ghost,Poison,600,60,65,80,170,95,130,1,False
103,Onix,95,Rock,Ground,385,35,45,160,30,45,70,1,False
104,Drowzee,96,Psychic,,328,60,48,45,43,90,42,1,False
105,Hypno,97,Psychic,,483,85,73,70,73,115,67,1,False
106,Krabby,98,Water,,325,30,105,90,25,25,50,1,False
107,Kingler,99,Water,,475,55,130,115,50,50,75,1,False
108,Voltorb,100,Electric,,330,40,30,50,55,55,100,1,False
109,Electrode,101,Electric,,480,60,50,70,80,80,140,1,False
110,Exeggcute,102,Grass,Psychic,325,60,40,80,60,45,40,1,False
111,Exeggutor,103,Grass,Psychic,520,95,95,85,125,65,55,1,False
112,Cubone,104,Ground,,320,50,50,95,40,50,35,1,False
113,Marowak,105,Ground,,425,60,80,110,50,80,45,1,False
114,Hitmonlee,106,Fighting,,455,50,120,53,35,110,87,1,False
115,Hitmonchan,107,Fighting,,455,50,105,79,35,110,76,1,False
116,Lickitung,108,Normal,,385,90,55,75,60,75,30,1,False
117,Koffing,109,Poison,,340,40,65,95,60,45,35,1,False
118,Weezing,110,Poison,,490,65,90,120,85,70,60,1,False
119,Rhyhorn,111,Ground,Rock,345,80,85,95,30,30,25,1,False
120,Rhydon,112,Ground,Rock,485,105,130,120,45,45,40,1,False
121,Chansey,113,Normal,,450,250,5,5,35,105,50,1,False
122,Tangela,114,Grass,,435,65,55,115,100,40,60,1,False
123,Kangaskhan,115,Normal,,490,105,95,80,40,80,90,1,False
124,KangaskhanMega Kangaskhan,115-mega,Normal,,590,105,125,100,60,100,100,1,False
125,Horsea,116,Water,,295,30,40,70,70,25,60,1,False
126,Seadra,117,Water,,440,55,65,95,95,45,85,1,False
127,Goldeen,118,Water,,320,45,67,60,35,50,63,1,False
128,Seaking,119,Water,,450,80,92,65,65,80,68,1,False
129,Staryu,120,Water,,340,30,45,55,70,55,85,1,False
130,Starmie,121,Water,Psychic,520,60,75,85,100,85,115,1,False
131,Mr. Mime,122,Psychic,Fairy,460,40,45,65,100,120,90,1,False
132,Scyther,123,Bug,Flying,500,70,110,80,55,80,105,1,False
133,Jynx,124,Ice,Psychic,455,65,50,35,115,95,95,1,False
134,Electabuzz,125,Electric,,490,65,83,57,95,85,105,1,False
135,Magmar,126,Fire,,495,65,95,57,100,85,93,1,False
136,Pinsir,127,Bug,,500,65,125,100,55,70,85,1,False
137,PinsirMega Pinsir,127-mega,Bug,Flying,600,65,155,120,65,90,105,1,False
138,Tauros,128,Normal,,490,75,100,95,40,70,110,1,False
139,Magikarp,129,Water,,200,20,10,55,15,20,80,1,False
140,Gyarados,130,Water,Flying,540,95,125,79,60,100,81,1,False
141,GyaradosMega Gyarados,130-mega,Water,Dark,640,95,155,109,70,130,81,1,False
142,Lapras,131,Water,Ice,535,130,85,80,85,95,60,1,False
143,Ditto,132,Normal,,288,48,48,48,48,48,48,1,False
144,Eevee,133,Normal,,325,55,55,50,45,65,55,1,False
145,Vaporeon,134,Water,,525,130,65,60,110,95,65,1,False
146,Jolteon,135,Electric,,525,65,65,60,110,95,130,1,False
147,Flareon,136,Fire,,525,65,130,60,95,110,65,1,False
148,Porygon,137,Normal,,395,65,60,70,85,75,40,1,False
149,Omanyte,138,Rock,Water,355,35,40,100,90,55,35,1,False
150,Omastar,139,Rock,Water,495,70,60,125,115,70,55,1,False
151,Kabuto,140,Rock,Water,355,30,80,90,55,45,55,1,False
152,Kabutops,141,Rock,Water,495,60,115,105,65,70,80,1,False
153,Aerodactyl,142,Rock,Flying,515,80,105,65,60,75,130,1,False
154,AerodactylMega Aerodactyl,142-mega,Rock,Flying,615,80,135,85,70,95,150,1,False
155,Snorlax,143,Normal,,540,160,110,65,65,110,30,1,False
156,Articuno,144,Ice,Flying,580,90,85,100,95,125,85,1,True
157,Zapdos,145,Electric,Flying,580,90,90,85,125,90,100,1,True
158,Moltres,146,Fire,Flying,580,90,100,90,125,85,90,1,True
159,Dratini,147,Dragon,,300,41,64,45,50,50,50,1,False
160,Dragonair,148,Dragon,,420,61,84,65,70,70,70,1,False
161,Dragonite,149,Dragon,Flying,600,91,134,95,100,100,80,1,False
162,Mewtwo,150,Psychic,,680,106,110,90,154,90,130,1,True
163,MewtwoMega Mewtwo X,150-mega-x,Psychic,Fighting,780,106,190,100,154,100,130,1,True
164,MewtwoMega Mewtwo Y,150-mega-y,Psychic,,780,106,150,70,194,120,140,1,True
165,Mew,151,Psychic,,600,100,100,100,100,100,100,1,False
166,Chikorita,152,Grass,,318,45,49,65,49,65,45,2,False
167,Bayleef,153,Grass,,405,60,62,80,63,80,60,2,False
168,Meganium,154,Grass,,525,80,82,100,83,100,80,2,False
169,Cyndaquil,155,Fire,,309,39,52,43,60,50,65,2,False
170,Quilava,156,Fire,,405,58,64,58,80,65,80,2,False
171,Typhlosion,157,Fire,,534,78,84,78,109,85,100,2,False
172,Totodile,158,Water,,314,50,65,64,44,48,43,2,False
173,Croconaw,159,Water,,405,65,80,80,59,63,58,2,False
174,Feraligatr,160,Water,,530,85,105,100,79,83,78,2,False
175,Sentret,161,Normal,,215,35,46,34,35,45,20,2,False
176,Furret,162,Normal,,415,85,76,64,45,55,90,2,False
177,Hoothoot,163,Normal,Flying,262,60,30,30,36,56,50,2,False
178,Noctowl,164,Normal,Flying,442,100,50,50,76,96,70,2,False
179,Ledyba,165,Bug,Flying,265,40,20,30,40,80,55,2,False
180,Ledian,166,Bug,Flying,390,55,35,50,55,110,85,2,False
181,Spinarak,167,Bug,Poison,250,40,60,40,40,40,30,2,False
182,Ariados,168,Bug,Poison,390,70,90,70,60,60,40,2,False
183,Crobat,169,Poison,Flying,535,85,90,80,70,80,130,2,False
184,Chinchou,170,Water,Electric,330,75,38,38,56,56,67,2,False
185,Lanturn,171,Water,Electric,460,125,58,58,76,76,67,2,False
186,Pichu,172,Electric,,205,20,40,15,35,35,60,2,False
187,Cleffa,173,Fairy,,218,50,25,28,45,55,15,2,False
188,Igglybuff,174,Normal,Fairy,210,90,30,15,40,20,15,2,False
189,Togepi,175,Fairy,,245,35,20,65,40,65,20,2,False
190,Togetic,176,Fairy,Flying,405,55,40,85,80,105,40,2,False
191,Natu,177,Psychic,Flying,320,40,50,45,70,45,70,2,False
192,Xatu,178,Psychic,Flying,470,65,75,70,95,70,95,2,False
193,Mareep,179,Electric,,280,55,40,40,65,45,35,2,False
194,Flaaffy,180,Electric,,365,70,55,55,80,60,45,2,False
195,Ampharos,181,Electric,,510,90,75,85,115,90,55,2,False
196,AmpharosMega Ampharos,181-mega,Electric,Dragon,610,90,95,105,165,110,45,2,False
197,Bellossom,182,Grass,,490,75,80,95,90,100,50,2,False
198,Marill,183,Water,Fairy,250,70,20,50,20,50,40,2,False
199,Azumarill,184,Water,Fairy,420,100,50,80,60,80,50,2,False
200,Sudowoodo,185,Rock,,410,70,100,115,30,65,30,2,False
201,Politoed,186,Water,,500,90,75,75,90,100,70,2,False
202,Hoppip,187,Grass,Flying,250,35,35,40,35,55,50,2,False
203,Skiploom,188,Grass,Flying,340,55,45,50,45,65,80,2,False
204,Jumpluff,189,Grass,Flying,460,75,55,70,55,95,110,2,False
205,Aipom,190,Normal,,360,55,70,55,40,55,85,2,False
206,Sunkern,191,Grass,,180,30,30,30,30,30,30,2,False
207,Sunflora,192,Grass,,425,75,75,55,105,85,30,2,False
208,Yanma,193,Bug,Flying,390,65,65,45,75,45,95,2,False
209,Wooper,194,Water,Ground,210,55,45,45,25,25,15,2,False
210,Quagsire,195,Water,Ground,430,95,85,85,65,65,35,2,False
211,Espeon,196,Psychic,,525,65,65,60,130,95,110,2,False
212,Umbreon,197,Dark,,525,95,65,110,60,130,65,2,False
213,Murkrow,198,Dark,Flying,405,60,85,42,85,42,91,2,False
214,Slowking,199,Water,Psychic,490,95,75,80,100,110,30,2,False
215,Misdreavus,200,Ghost,,435,60,60,60,85,85,85,2,False
216,Unown,201,Psychic,,336,48,72,48,72,48,48,2,False
217,Wobbuffet,202,Psychic,,405,190,33,58,33,58,33,2,False
218,Girafarig,203,Normal,Psychic,455,70,80,65,90,65,85,2,False
219,Pineco,204,Bug,,290,50,65,90,35,35,15,2,False
220,Forretress,205,Bug,Steel,465,75,90,140,60,60,40,2,False
221,Dunsparce,206,Normal,,415,100,70,70,65,65,45,2,False
222,Gligar,207,Ground,Flying,430,65,75,105,35,65,85,2,False
223,Steelix,208,Steel,Ground,510,75,85,200,55,65,30,2,False
224,SteelixMega Steelix,208-mega,Steel,Ground,610,75,125,230,55,95,30,2,False
225,Snubbull,209,Fairy,,300,60,80,50,40,40,30,2,False
226,Granbull,210,Fairy,,450,90,120,75,60,60,45,2,False
227,Qwilfish,211,Water,Poison,430,65,95,75,55,55,85,2,False
228,Scizor,212,Bug,Steel,500,70,130,100,55,80,65,2,False
229,ScizorMega Scizor,212-mega,Bug,Steel,600,70,150,140,65,100,75,2,False
230,Shuckle,213,Bug,Rock,505,20,10,230,10,230,5,2,False
231,Heracross,214,Bug,Fighting,500,80,125,75,40,95,85,2,False
232,HeracrossMega Heracross,214-mega,Bug,Fighting,600,80,185,115,40,105,75,2,False
233,Sneasel,215,Dark,Ice,430,55,95,55,35,75,115,2,False
234,Teddiursa,216,Normal,,330,60,80,50,50,50,40,2,False
235,Ursaring,217,Normal,,500,90,130,75,75,75,55,2,False
236,Slugma,218,Fire,,250,40,40,40,70,40,20,2,False
237,Magcargo,219,Fire,Rock,410,50,50,120,80,80,30,2,False
238,Swinub,220,Ice,Ground,250,50,50,40,30,30,50,2,False
239,Piloswine,221,Ice,Ground,450,100,100,80,60,60,50,2,False
240,Corsola,222,Water,Rock,380,55,55,85,65,85,35,2,False
241,Remoraid,223,Water,,300,35,65,35,65,35,65,2,False
242,Octillery,224,Water,,480,75,105,75,105,75,45,2,False
243,Delibird,225,Ice,Flying,330,45,55,45,65,45,75,2,False
244,Mantine,226,Water,Flying,465,65,40,70,80,140,70,2,False
245,Skarmory,227,Steel,Flying,465,65,80,140,40,70,70,2,False
246,Houndour,228,Dark,Fire,330,45,60,30,80,50,65,2,False
247,Houndoom,229,Dark,Fire,500,75,90,50,110,80,95,2,False
248,HoundoomMega Houndoom,229-mega,Dark,Fire,600,75,90,90,140,90,115,2,False
249,Kingdra,230,Water,Dragon,540,75,95,95,95,95,85,2,False
250,Phanpy,231,Ground,,330,90,60,60,40,40,40,2,False
251,Donphan,232,Ground,,500,90,120,120,60,60,50,2,False
252,Porygon2,233,Normal,,515,85,80,90,105,95,60,2,False
253,Stantler,234,Normal,,465,73,95,62,85,65,85,2,False
254,Smeargle,235,Normal,,250,55,20,35,20,45,75,2,False
255,Tyrogue,236,Fighting,,210,35,35,35,35,35,35,2,False
256,Hitmontop,237,Fighting,,455,50,95,95,35,110,70,2,False
257,Smoochum,238,Ice,Psychic,305,45,30,15,85,65,65,2,False
258,Elekid,239,Electric,,360,45,63,37,65,55,95,2,False
259,Magby,240,Fire,,365,45,75,37,70,55,83,2,False
260,Miltank,241,Normal,,490,95,80,105,40,70,100,2,False
261,Blissey,242,Normal,,540,255,10,10,75,135,55,2,False
262,Raikou,243,Electric,,580,90,85,75,115,100,115,2,True
263,Entei,244,Fire,,580,115,115,85,90,75,100,2,True
264,Suicune,245,Water,,580,100,75,115,90,115,85,2,True
265,Larvitar,246,Rock,Ground,300,50,64,50,45,50,41,2,False
266,Pupitar,247,Rock,Ground,410,70,84,70,65,70,51,2,False
267,Tyranitar,248,Rock,Dark,600,100,134,110,95,100,61,2,False
268,TyranitarMega Tyranitar,248-mega,Rock,Dark,700,100,164,150,95,120,71,2,False
269,Lugia,249,Psychic,Flying,680,106,90,130,90,154,110,2,True
270,Ho-oh,250,Fire,Flying,680,106,130,90,110,154,90,2,True
271,Celebi,251,Psychic,Grass,600,100,100,100,100,100,100,2,False
272,Treecko,252,Grass,,310,40,45,35,65,55,70,3,False
273,Grovyle,253,Grass,,405,50,65,45,85,65,95,3,False
274,Sceptile,254,Grass,,530,70,85,65,105,85,120,3,False
275,SceptileMega Sceptile,254-mega,Grass,Dragon,630,70,110,75,145,85,145,3,False
276,Torchic,255,Fire,,310,45,60,40,70,50,45,3,False
277,Combusken,256,Fire,Fighting,405,60,85,60,85,60,55,3,False
278,Blaziken,257,Fire,Fighting,530,80,120,70,110,70,80,3,False
279,BlazikenMega Blaziken,257-mega,Fire,Fighting,630,80,160,80,130,80,100,3,False
280,Mudkip,258,Water,,310,50,70,50,50,50,40,3,False
281,Marshtomp,259,Water,Ground,405,70,85,70,60,70,50,3,False
282,Swampert,260,Water,Ground,535,100,110,90,85,90,60,3,False
283,SwampertMega Swampert,260-mega,Water,Ground,635,100,150,110,95,110,70,3,False
284,Poochyena,261,Dark,,220,35,55,35,30,30,35,3,False
285,Mightyena,262,Dark,,420,70,90,70,60,60,70,3,False
286,Zigzagoon,263,Normal,,240,38,30,41,30,41,60,3,False
287,Linoone,264,Normal,,420,78,70,61,50,61,100,3,False
288,Wurmple,265,Bug,,195,45,45,35,20,30,20,3,False
289,Silcoon,266,Bug,,205,50,35,55,25,25,15,3,False
290,Beautifly,267,Bug,Flying,395,60,70,50,100,50,65,3,False
291,Cascoon,268,Bug,,205,50,35,55,25,25,15,3,False
292,Dustox,269,Bug,Poison,385,60,50,70,50,90,65,3,False
293,Lotad,270,Water,Grass,220,40,30,30,40,50,30,3,False
294,Lombre,271,Water,Grass,340,60,50,50,60,70,50,3,False
295,Ludicolo,272,Water,Grass,480,80,70,70,90,100,70,3,False
296,Seedot,273,Grass,,220,40,40,50,30,30,30,3,False
297,Nuzleaf,274,Grass,Dark,340,70,70,40,60,40,60,3,False
298,Shiftry,275,Grass,Dark,480,90,100,60,90,60,80,3,False
299,Taillow,276,Normal,Flying,270,40,55,30,30,30,85,3,False
300,Swellow,277,Normal,Flying,430,60,85,60,50,50,125,3,False
301,Wingull,278,Water,Flying,270,40,30,30,55,30,85,3,False
302,Pelipper,279,Water,Flying,430,60,50,100,85,70,65,3,False
303,Ralts,280,Psychic,Fairy,198,28,25,25,45,35,40,3,False
304,Kirlia,281,Psychic,Fairy,278,38,35,35,65,55,50,3,False
305,Gardevoir,282,Psychic,Fairy,518,68,65,65,125,115,80,3,False
306,GardevoirMega Gardevoir,282-mega,Psychic,Fairy,618,68,85,65,165,135,100,3,False
307,Surskit,283,Bug,Water,269,40,30,32,50,52,65,3,False
308,Masquerain,284,Bug,Flying,414,70,60,62,80,82,60,3,False
309,Shroomish,285,Grass,,295,60,40,60,40,60,35,3,False
310,Breloom,286,Grass,Fighting,460,60,130,80,60,60,70,3,False
311,Slakoth,287,Normal,,280,60,60,60,35,35,30,3,False
312,Vigoroth,288,Normal,,440,80,80,80,55,55,90,3,False
313,Slaking,289,Normal,,670,150,160,100,95,65,100,3,False
314,Nincada,290,Bug,Ground,266,31,45,90,30,30,40,3,False
315,Ninjask,291,Bug,Flying,456,61,90,45,50,50,160,3,False
316,Shedinja,292,Bug,Ghost,236,1,90,45,30,30,40,3,False
317,Whismur,293,Normal,,240,64,51,23,51,23,28,3,False
318,Loudred,294,Normal,,360,84,71,43,71,43,48,3,False
319,Exploud,295,Normal,,490,104,91,63,91,73,68,3,False
320,Makuhita,296,Fighting,,237,72,60,30,20,30,25,3,False
321,Hariyama,297,Fighting,,474,144,120,60,40,60,50,3,False
322,Azurill,298,Normal,Fairy,190,50,20,40,20,40,20,3,False
323,Nosepass,299,Rock,,375,30,45,135,45,90,30,3,False
324,Skitty,300,Normal,,260,50,45,45,35,35,50,3,False
325,Delcatty,301,Normal,,380,70,65,65,55,55,70,3,False
326,Sableye,302,Dark,Ghost,380,50,75,75,65,65,50,3,False
327,SableyeMega Sableye,302-mega,Dark,Ghost,480,50,85,125,85,115,20,3,False
328,Mawile,303,Steel,Fairy,380,50,85,85,55,55,50,3,False
329,MawileMega Mawile,303-mega,Steel,Fairy,480,50,105,125,55,95,50,3,False
330,Aron,304,Steel,Rock,330,50,70,100,40,40,30,3,False
331,Lairon,305,Steel,Rock,430,60,90,140,50,50,40,3,False
332,Aggron,306,Steel,Rock,530,70,110,180,60,60,50,3,False
333,AggronMega Aggron,306-mega,Steel,,630,70,140,230,60,80,50,3,False
334,Meditite,307,Fighting,Psychic,280,30,40,55,40,55,60,3,False
335,Medicham,308,Fighting,Psychic,410,60,60,75,60,75,80,3,False
336,MedichamMega Medicham,308-mega,Fighting,Psychic,510,60,100,85,80,85,100,3,False
337,Electrike,309,Electric,,295,40,45,40,65,40,65,3,False
338,Manectric,310,Electric,,475,70,75,60,105,60,105,3,False
339,ManectricMega Manectric,310-mega,Electric,,575,70,75,80,135,80,135,3,False
340,Plusle,311,Electric,,405,60,50,40,85,75,95,3,False
341,Minun,312,Electric,,405,60,40,50,75,85,95,3,False
342,Volbeat,313,Bug,,400,65,73,55,47,75,85,3,False
343,Illumise,314,Bug,,400,65,47,55,73,75,85,3,False
344,Roselia,315,Grass,Poison,400,50,60,45,100,80,65,3,False
345,Gulpin,316,Poison,,302,70,43,53,43,53,40,3,False
346,Swalot,317,Poison,,467,100,73,83,73,83,55,3,False
347,Carvanha,318,Water,Dark,305,45,90,20,65,20,65,3,False
348,Sharpedo,319,Water,Dark,460,70,120,40,95,40,95,3,False
349,SharpedoMega Sharpedo,319-mega,Water,Dark,560,70,140,70,110,65,105,3,False
350,Wailmer,320,Water,,400,130,70,35,70,35,60,3,False
351,Wailord,321,Water,,500,170,90,45,90,45,60,3,False
352,Numel,322,Fire,Ground,305,60,60,40,65,45,35,3,False
353,Camerupt,323,Fire,Ground,460,70,100,70,105,75,40,3,False
354,CameruptMega Camerupt,323-mega,Fire,Ground,560,70,120,100,145,105,20,3,False
355,Torkoal,324,Fire,,470,70,85,140,85,70,20,3,False
356,Spoink,325,Psychic,,330,60,25,35,70,80,60,3,False
357,Grumpig,326,Psychic,,470,80,45,65,90,110,80,3,False
358,Spinda,327,Normal,,360,60,60,60,60,60,60,3,False
359,Trapinch,328,Ground,,290,45,100,45,45,45,10,3,False
360,Vibrava,329,Ground,Dragon,340,50,70,50,50,50,70,3,False
361,Flygon,330,Ground,Dragon,520,80,100,80,80,80,100,3,False
362,Cacnea,331,Grass,,335,50,85,40,85,40,35,3,False
363,Cacturne,332,Grass,Dark,475,70,115,60,115,60,55,3,False
364,Swablu,333,Normal,Flying,310,45,40,60,40,75,50,3,False
365,Altaria,334,Dragon,Flying,490,75,70,90,70,105,80,3,False
366,AltariaMega Altaria,334-mega,Dragon,Fairy,590,75,110,110,110,105,80,3,False
367,Zangoose,335,Normal,,458,73,115,60,60,60,90,3,False
368,Seviper,336,Poison,,458,73,100,60,100,60,65,3,False
369,Lunatone,337,Rock,Psychic,440,70,55,65,95,85,70,3,False
370,Solrock,338,Rock,Psychic,440,70,95,85,55,65,70,3,False
371,Barboach,339,Water,Ground,288,50,48,43,46,41,60,3,False
372,Whiscash,340,Water,Ground,468,110,78,73,76,71,60,3,False
373,Corphish,341,Water,,308,43,80,65,50,35,35,3,False
374,Crawdaunt,342,Water,Dark,468,63,120,85,90,55,55,3,False
375,Baltoy,343,Ground,Psychic,300,40,40,55,40,70,55,3,False
376,Claydol,344,Ground,Psychic,500,60,70,105,70,120,75,3,False
377,Lileep,345,Rock,Grass,355,66,41,77,61,87,23,3,False
378,Cradily,346,Rock,Grass,495,86,81,97,81,107,43,3,False
379,Anorith,347,Rock,Bug,355,45,95,50,40,50,75,3,False
380,Armaldo,348,Rock,Bug,495,75,125,100,70,80,45,3,False
381,Feebas,349,Water,,200,20,15,20,10,55,80,3,False
382,Milotic,350,Water,,540,95,60,79,100,125,81,3,False
383,Castform,351,Normal,,420,70,70,70,70,70,70,3,False
384,Kecleon,352,Normal,,440,60,90,70,60,120,40,3,False
385,Shuppet,353,Ghost,,295,44,75,35,63,33,45,3,False
386,Banette,354,Ghost,,455,64,115,65,83,63,65,3,False
387,BanetteMega Banette,354-mega,Ghost,,555,64,165,75,93,83,75,3,False
388,Duskull,355,Ghost,,295,20,40,90,30,90,25,3,False
389,Dusclops,356,Ghost,,455,40,70,130,60,130,25,3,False
390,Tropius,357,Grass,Flying,460,99,68,83,72,87,51,3,False
391,Chimecho,358,Psychic,,425,65,50,70,95,80,65,3,False
392,Absol,359,Dark,,465,65,130,60,75,60,75,3,False
393,AbsolMega Absol,359-mega,Dark,,565,65,150,60,115,60,115,3,False
394,Wynaut,360,Psychic,,260,95,23,48,23,48,23,3,False
